number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
66,2026/4/9,260002.IB,260002,"20,560,115","101,313,180,000.00",2.34,"10,873",29.7699
67,2026/4/10,260001.IB,260001,"20,270,115","3,240,000,000.00",1.19,280,0.7671
68,2026/4/9,260001.IB,260001,"20,270,115","3,530,000,000.00",1.1851,281,0.7699
69,2026/4/10,2600003.IB,2600003,"20,760,507",--,--,"18,263",50
70,2026/4/9,2600003.IB,2600003,"20,760,507",--,--,"18,263",50
71,2026/4/10,2600002.IB,2600002,"20,560,425",--,--,"10,958",30
72,2026/4/9,2600002.IB,2600002,"20,560,425",--,--,"10,958",30
73,2026/4/10,2600001.IB,2600001,"20,460,425",--,--,"7,305",20
74,2026/4/9,2600001.IB,2600001,"20,460,425",--,--,"7,305",20
75,2026/4/10,259981.IB,259981,"20,260,625",0,1.185,76,0.2082
76,2026/4/9,259981.IB,259981,"20,260,625","600,000,000.00",1.185,77,0.211
77,2026/4/10,2500802.IB,2500802,"20,320,515","40,000,000.00",1.621,"2,227",6.0959
78,2026/4/9,2500802.IB,2500802,"20,320,515","30,000,000.00",1.621,"2,228",6.0986
79,2026/4/10,2500801.IB,2500801,"20,300,425","350,000,000.00",1.4852,"1,476",4.0411
80,2026/4/9,2500801.IB,2500801,"20,300,425","270,000,000.00",1.4875,"1,477",4.0438
81,2026/4/10,250025.IB,250025,"20,321,225","9,047,950,000.00",1.6732,"2,451",6.7096
82,2026/4/9,250025.IB,250025,"20,321,225","9,233,440,000.00",1.68,"2,452",6.7123
83,2026/4/10,250024.IB,250024,"20,271,215","633,500,000.00",1.3125,614,1.6822
84,2026/4/9,250024.IB,250024,"20,271,215","1,530,840,000.00",1.3114,615,1.6849
85,2026/4/10,250023.IB,250023,"20,281,125","60,000,000.00",1.34,960,2.6274
86,2026/4/9,250023.IB,250023,"20,281,125","337,190,000.00",1.3375,961,2.6301
87,2026/4/10,250022.IB,250022,"20,351,115","9,801,000,000.00",1.815,"3,506",9.6
88,2026/4/9,250022.IB,250022,"20,351,115","11,073,680,000.00",1.82,"3,507",9.6027
89,2026/4/10,250021.IB,250021,"20,751,106","3,061,070,000.00",2.4975,"18,107",49.5753
90,2026/4/9,250021.IB,250021,"20,751,106","3,153,500,000.00",2.494,"18,108",49.5781
91,2026/4/10,250020.IB,250020,"20,301,025","2,087,620,000.00",1.53,"1,659",4.5425
92,2026/4/9,250020.IB,250020,"20,301,025","2,662,820,000.00",1.5325,"1,660",4.5452
93,2026/4/10,250019.IB,250019,"20,261,015","1,020,000,000.00",1.17,188,0.5151
94,2026/4/9,250019.IB,250019,"20,261,015","1,610,000,000.00",1.17,189,0.5178
95,2026/4/10,250018.IB,250018,"20,320,915","2,789,620,000.00",1.65,"2,350",6.4329
96,2026/4/9,250018.IB,250018,"20,320,915","3,470,000,000.00",1.65,"2,351",6.4356
97,2026/4/10,250017.IB,250017,"20,270,915","202,000,000.00",1.2938,523,1.4329
98,2026/4/9,250017.IB,250017,"20,270,915","1,002,000,000.00",1.28,524,1.4356
99,2026/4/10,250016.IB,250016,"20,350,825","5,400,340,000.00",1.811,"3,424",9.3753
100,2026/4/9,250016.IB,250016,"20,350,825","8,519,210,000.00",1.816,"3,425",9.3781
101,2026/4/10,250015.IB,250015,"20,280,815",0,1.3353,858,2.3479
102,2026/4/9,250015.IB,250015,"20,280,815","271,410,000.00",1.335,859,2.3507
103,2026/4/10,250014.IB,250014,"20,300,725","2,887,600,000.00",1.4975,"1,567",4.2904
104,2026/4/9,250014.IB,250014,"20,300,725","1,441,400,000.00",1.495,"1,568",4.2932
105,2026/4/10,250013.IB,250013,"20,260,725","2,110,000,000.00",1.1699,106,0.2904
106,2026/4/9,250013.IB,250013,"20,260,725","500,000,000.00",1.1701,107,0.2932
107,2026/4/10,250012.IB,250012,"20,270,615","155,400,000.00",1.2425,431,1.1808
108,2026/4/9,250012.IB,250012,"20,270,615","301,340,000.00",1.24,432,1.1836
109,2026/4/10,250011.IB,250011,"20,350,525","3,030,290,000.00",1.7625,"3,332",9.1233
110,2026/4/9,250011.IB,250011,"20,350,525","2,852,000,000.00",1.762,"3,333",9.126
111,2026/4/10,2500102.IB,2500102,"20,401,212",0,2.1199,"5,360",14.674
112,2026/4/9,2500102.IB,2500102,"20,401,212",0,2.1199,"5,361",14.6767
113,2026/4/10,2500101.IB,2500101,"20,351,212",0,1.5965,"3,533",9.674
114,2026/4/9,2500101.IB,2500101,"20,351,212",0,1.5966,"3,534",9.6767
115,2026/4/10,250010.IB,250010,"20,280,525","2,821,200,000.00",1.2925,776,2.1233
116,2026/4/9,250010.IB,250010,"20,280,525","1,177,500,000.00",1.2925,777,2.126
117,2026/4/10,250009.IB,250009,"20,350,515","80,000,000.00",1.77,"3,322",9.0959
118,2026/4/9,250009.IB,250009,"20,350,515","311,500,000.00",1.7725,"3,323",9.0986
119,2026/4/10,250007.IB,250007,"20,320,325","3,821,880,000.00",1.595,"2,176",5.9562
120,2026/4/9,250007.IB,250007,"20,320,325","5,646,590,000.00",1.598,"2,177",5.9589
121,2026/4/10,250006.IB,250006,"20,270,315","560,000,000.00",1.18,339,0.9288
122,2026/4/9,250006.IB,250006,"20,270,315","4,362,280,000.00",1.18,340,0.9315
123,2026/4/10,250005.IB,250005,"20,280,225","520,000,000.00",1.256,686,1.8795
124,2026/4/9,250005.IB,250005,"20,280,225","245,600,000.00",1.255,687,1.8822
125,2026/4/10,250004.IB,250004,"20,350,215","1,590,000,000.00",1.765,"3,233",8.8521
126,2026/4/9,250004.IB,250004,"20,350,215","1,414,110,000.00",1.77,"3,234",8.8548
127,2026/4/10,250003.IB,250003,"20,300,125","4,810,600,000.00",1.4475,"1,386",3.7945
128,2026/4/9,250003.IB,250003,"20,300,125","2,610,760,000.00",1.455,"1,387",3.7973
129,2026/4/10,250002.IB,250002,"20,550,115","1,060,000,000.00",2.3275,"10,507",28.7671
130,2026/4/9,250002.IB,250002,"20,550,115","2,507,630,000.00",2.3225,"10,508",28.7699
131,2026/4/10,2500006.IB,2500006,"20,550,825","30,474,500,000.00",2.2958,"10,729",29.3753
132,2026/4/9,2500006.IB,2500006,"20,550,825","40,570,000,000.00",2.307,"10,730",29.3781
133,2026/4/10,2500005.IB,2500005,"20,550,715","2,672,000,000.00",2.3075,"10,688",29.263
134,2026/4/9,2500005.IB,2500005,"20,550,715","2,588,500,000.00",2.32,"10,689",29.2658
135,2026/4/10,2500004.IB,2500004,"20,450,715","2,604,000,000.00",2.271,"7,036",19.263
136,2026/4/9,2500004.IB,2500004,"20,450,715","2,450,000,000.00",2.2863,"7,037",19.2658
137,2026/4/10,2500003.IB,2500003,"20,750,525","1,020,000,000.00",2.4375,"17,942",49.1233
138,2026/4/9,2500003.IB,2500003,"20,750,525","1,570,000,000.00",2.4375,"17,943",49.126
139,2026/4/10,2500002.IB,2500002,"20,550,425","37,672,500,000.00",2.258,"10,607",29.0411
140,2026/4/9,2500002.IB,2500002,"20,550,425","45,343,000,000.00",2.264,"10,608",29.0438
141,2026/4/10,2500001.IB,2500001,"20,450,425","1,490,000,000.00",2.2725,"6,955",19.0411
142,2026/4/9,2500001.IB,2500001,"20,450,425","1,220,000,000.00",2.28,"6,956",19.0438
143,2026/4/10,240025.IB,240025,"20,311,225","370,520,000.00",1.59,"2,085",5.7096
144,2026/4/9,240025.IB,240025,"20,311,225","274,890,000.00",1.585,"2,086",5.7123
145,2026/4/10,240024.IB,240024,"20,261,215","200,000,000.00",1.195,249,0.6822
146,2026/4/9,240024.IB,240024,"20,261,215","960,000,000.00",1.195,250,0.6849
147,2026/4/10,240023.IB,240023,"20,341,125","20,600,000.00",1.74,"3,151",8.6274
148,2026/4/9,240023.IB,240023,"20,341,125","141,700,000.00",1.743,"3,152",8.6301
149,2026/4/10,240022.IB,240022,"20,271,115","170,000,000.00",1.25,584,1.6
150,2026/4/9,240022.IB,240022,"20,271,115","120,900,000.00",1.25,585,1.6027
151,2026/4/10,240020.IB,240020,"20,291,015","310,000,000.00",1.41,"1,284",3.5151
152,2026/4/9,240020.IB,240020,"20,291,015","259,200,000.00",1.41,"1,285",3.5178
153,2026/4/10,240019.IB,240019,"20,260,925",0,1.1286,168,0.4603
154,2026/4/9,240019.IB,240019,"20,260,925","200,000,000.00",1.1299,169,0.463
155,2026/4/10,240018.IB,240018,"20,310,915","1,330,750,000.00",1.555,"1,984",5.4329
156,2026/4/9,240018.IB,240018,"20,310,915","1,244,000,000.00",1.56,"1,985",5.4356
157,2026/4/10,240017.IB,240017,"20,340,825","650,000,000.00",1.7275,"3,059",8.3753
158,2026/4/9,240017.IB,240017,"20,340,825","1,152,950,000.00",1.725,"3,060",8.3781
159,2026/4/10,240016.IB,240016,"20,270,815",0,1.2417,492,1.3479
160,2026/4/9,240016.IB,240016,"20,270,815","400,000,000.00",1.2425,493,1.3507
161,2026/4/10,240014.IB,240014,"20,290,715","1,380,050,000.00",1.3801,"1,192",3.263
162,2026/4/9,240014.IB,240014,"20,290,715","2,139,700,000.00",1.38,"1,193",3.2658
163,2026/4/10,240013.IB,240013,"20,310,625","894,780,000.00",1.525,"1,902",5.2082
164,2026/4/9,240013.IB,240013,"20,310,625","452,000,000.00",1.534,"1,903",5.211
165,2026/4/10,240011.IB,240011,"20,340,525","740,550,000.00",1.7162,"2,967",8.1233
166,2026/4/9,240011.IB,240011,"20,340,525","1,945,540,000.00",1.7163,"2,968",8.126
167,2026/4/10,2400102.IB,2400102,"20,390,829",0,2.0102,"4,889",13.3863
168,2026/4/9,2400102.IB,2400102,"20,390,829","500,000.00",2.01,"4,890",13.389
169,2026/4/10,2400101.IB,2400101,"20,340,829",0,1.7399,"3,063",8.3863
170,2026/4/9,2400101.IB,2400101,"20,340,829","50,000,000.00",1.74,"3,064",8.389
171,2026/4/10,240010.IB,240010,"20,270,515","87,800,000.00",1.255,400,1.0959
172,2026/4/9,240010.IB,240010,"20,270,515","281,900,000.00",1.24,401,1.0986
173,2026/4/10,240008.IB,240008,"20,290,415","2,260,000,000.00",1.35,"1,101",3.0137
174,2026/4/9,240008.IB,240008,"20,290,415","2,784,400,000.00",1.35,"1,102",3.0164
175,2026/4/10,240007.IB,240007,"20,740,325","40,000,000.00",2.4275,"17,516",47.9562
176,2026/4/9,240007.IB,240007,"20,740,325",0,2.5155,"17,517",47.9589
177,2026/4/10,240006.IB,240006,"20,310,325","241,140,000.00",1.5125,"1,810",4.9562
178,2026/4/9,240006.IB,240006,"20,310,325","597,000,000.00",1.5175,"1,811",4.9589
179,2026/4/10,240004.IB,240004,"20,340,225","1,290,000,000.00",1.7,"2,878",7.8795
180,2026/4/9,240004.IB,240004,"20,340,225","822,800,000.00",1.7025,"2,879",7.8822
181,2026/4/10,240003.IB,240003,"20,270,225","780,000,000.00",1.145,321,0.8795
182,2026/4/9,240003.IB,240003,"20,270,225","1,575,360,000.00",1.145,322,0.8822
183,2026/4/10,240001.IB,240001,"20,290,115","151,000,000.00",1.27,"1,011",2.7671
184,2026/4/9,240001.IB,240001,"20,290,115","891,500,000.00",1.29,"1,012",2.7699
185,2026/4/10,2400006.IB,2400006,"20,540,925","1,280,000,000.00",2.325,"10,395",28.4603
186,2026/4/9,2400006.IB,2400006,"20,540,925","3,047,000,000.00",2.335,"10,396",28.463
187,2026/4/10,2400005.IB,2400005,"20,440,815","20,000,000.00",2.24,"6,702",18.3479
188,2026/4/9,2400005.IB,2400005,"20,440,815","70,000,000.00",2.25,"6,703",18.3507
189,2026/4/10,2400004.IB,2400004,"20,540,725","810,000,000.00",2.31,"10,333",28.2904
190,2026/4/9,2400004.IB,2400004,"20,540,725","830,000,000.00",2.3305,"10,334",28.2932
