number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
199,2026/4/10,110256.IB,110256,"20,411,012",0,3.7772,"5,664",15.5068
200,2026/4/9,110256.IB,110256,"20,411,012",0,3.7775,"5,665",15.5096
201,2026/4/10,110209.IB,110209,"20,410,223",0,2.1893,"5,433",14.874
202,2026/4/9,110209.IB,110209,"20,410,223",0,2.1897,"5,434",14.8767
203,2026/4/10,100241.IB,100241,"20,410,111",--,--,"5,390",14.7562
204,2026/4/9,100241.IB,100241,"20,410,111",--,--,"5,391",14.7589
205,2026/4/10,100232.IB,100232,"20,401,116",0,2.209,"5,334",14.6027
206,2026/4/9,100232.IB,100232,"20,401,116",0,2.2093,"5,335",14.6055
207,2026/4/10,100207.IB,100207,"20,400,407",0,2.1877,"5,111",13.9918
208,2026/4/9,100207.IB,100207,"20,400,407",0,2.1881,"5,112",13.9945
209,2026/4/10,100205.IB,100205,"20,300,317",0,1.6594,"1,437",3.9342
210,2026/4/9,100205.IB,100205,"20,300,317",0,1.661,"1,438",3.937
211,2026/4/10,09260205.IB,9260205,"20,360,605",--,--,"3,653",10
212,2026/4/9,09260205.IB,9260205,"20,360,605",--,--,"3,653",10
213,2026/4/10,09260204.IB,9260204,"20,330,109","510,000,000.00",1.8,"2,466",6.7507
214,2026/4/9,09260204.IB,9260204,"20,330,109","570,000,000.00",1.8025,"2,467",6.7534
215,2026/4/10,09260202.IB,9260202,"20,290,424",--,--,"1,096",3
216,2026/4/9,09260202.IB,9260202,"20,290,424",--,--,"1,096",3
217,2026/4/10,092602001.IB,92602001,"20,290,410",--,--,"1,096",3
218,2026/4/9,092602001.IB,92602001,"20,290,410",--,--,"1,096",3
219,2026/4/10,09250212.IB,9250212,"20,271,121",0,1.4861,590,1.6164
220,2026/4/9,09250212.IB,9250212,"20,271,121",0,1.4953,591,1.6192
