number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond,
51,2026-04-13,1602301.IB,1602301,"20,361,027",--,--,"3,850",10.5397,
52,2026-04-13,170202.IB,170202,"20,370,109",0.0000,1.9163,"3,924",10.7425,
53,2026-04-13,170210.IB,170210,"20,270,410","1,210,000,000.0000",1.4275,362,0.9918,
54,2026-04-13,170215.IB,170215,"20,270,824","140,000,000.0000",1.4950,498,1.3644,
55,2026-04-13,1702301.IB,1702301,"20,370,125",--,--,"3,940",10.7863,
56,2026-04-13,1702302.IB,1702302,"20,270,303",--,--,324,0.8877,
57,2026-04-13,1702303.IB,1702303,"20,370,303",--,--,"3,977",10.8877,
58,2026-04-13,180205.IB,180205,"20,280,209","250,000,000.0000",1.5200,667,1.8274,
59,2026-04-13,180210.IB,180210,"20,280,706","1,220,000,000.0000",1.5500,815,2.2301,
60,2026-04-13,190205.IB,190205,"20,290,108","490,000,000.0000",1.5800,"1,001",2.7397,
61,2026-04-13,190209.IB,190209,"20,260,813","10,000,000.0000",1.3475,122,0.3342,
62,2026-04-13,190210.IB,190210,"20,290,521","530,000,000.0000",1.6025,"1,134",3.1041,
63,2026-04-13,190215.IB,190215,"20,290,920","2,630,000,000.0000",1.6200,"1,256",3.4384,
64,2026-04-13,200204.IB,200204,"20,270,114","180,000,000.0000",1.3999,276,0.7562,
